type,codeName,displayName,description,category,target,action,needCount,rewardType,rewardAmount,autoComplete,savable,chapter,afterQuest,acceptType,acceptId,completeType,completeId,timeLimit
quest,tut_acquire_relic,유물의 부름,첫 유물 획득,Relic,*,SimpleCount,1,None,0,true,false,0,tut_select_equip,None,,None,,0
quest,tut_select_equip,무장,모루에서 장비 선택,Equip,*,SimpleCount,1,None,0,true,false,0,tut_enter_gate,None,,Dialogue,Quest_TutEquip_Complete,0
quest,tut_enter_gate,심연으로,포탈을 지나 심연으로,Gate,*,SimpleCount,1,None,0,true,false,0,tut_covenant,None,,None,,0
quest,tut_covenant,서약,심연의 제단에서 서약,Covenant,*,SimpleCount,1,None,0,true,false,0,,None,,Dialogue,Quest_TutCovenant_Complete,0
quest,clear_room_3,첫 발걸음,방 3개 클리어,Room,Normal,SimpleCount,3,Gold,300,true,true,1,,None,,None,,0
quest,kill_monster_20,사냥 시작,몬스터 20마리 처치,Kill,*,SimpleCount,20,Gold,500,true,true,1,,None,,None,,0
quest,collect_gold_1000,재력가,골드 1000 모으기,Gold,*,SimpleCount,1000,Gold,200,true,true,1,,None,,None,,0
quest,hidden_elite_ambush,예기치 못한 습격,제한 시간 내 정예 처치,Kill,*,SimpleCount,3,Gold,300,true,false,0,,Dialogue,Quest_HiddenAmbush_Start,Dialogue,Quest_HiddenAmbush_Clear,20
achievement,reach_ch2,심연의 문턱,2챕터 도달,Record,maxChapter,SimpleSet,2,Essence,150,false,true,0,,None,,None,,0
achievement,reach_ch3,더 아래로,3챕터 도달,Record,maxChapter,SimpleSet,3,Essence,300,false,true,0,,None,,None,,0
achievement,first_clear,바닥을 보다,심연을 완주,Record,clears,SimpleSet,1,Essence,600,false,true,0,,None,,None,,0
achievement,depth_5,되돌아온 자,심연 깊이 5 도달,Record,maxDepth,SimpleSet,5,Essence,1200,false,true,0,,None,,None,,0
achievement,kill_100_any,백인 학살자,몬스터 100마리 처치,Record,kills,SimpleSet,100,Essence,200,false,true,0,,None,,None,,0
achievement,kill_1000,천인 학살자,몬스터 1000마리 처치,Record,kills,SimpleSet,1000,Essence,600,false,true,0,,None,,None,,0
achievement,elite_30,정예 사냥꾼,정예 30 처치,Record,eliteKills,SimpleSet,30,Essence,250,false,true,0,,None,,None,,0
achievement,elite_100,정예 학살자,정예 100 처치,Record,eliteKills,SimpleSet,100,Essence,500,false,true,0,,None,,None,,0
achievement,boss_first,첫 보스 처치,보스를 처음 쓰러뜨리다,Record,bossKills,SimpleSet,1,Essence,300,false,true,0,,None,,None,,0
achievement,boss_10,왕을 베는 자,보스 10회 처치,Record,bossKills,SimpleSet,10,Essence,600,false,true,0,,None,,None,,0
achievement,enhance_6,벼려낸 것,무기 +6 도달,Record,maxEnhance,SimpleSet,6,Essence,200,false,true,0,,None,,None,,0
achievement,enhance_9,명장의 손,무기 +9 도달,Record,maxEnhance,SimpleSet,9,Essence,400,false,true,0,,None,,None,,0
achievement,refine_30,응축의 이해,정제 30회,Record,refineCount,SimpleSet,30,Essence,300,false,true,0,,None,,None,,0
achievement,refine_100,존핵 장인,정제 100회,Record,refineCount,SimpleSet,100,Essence,700,false,true,0,,None,,None,,0
achievement,clear_50_rooms,방 탐험가,방 50개 클리어,Record,roomClears,SimpleSet,50,Essence,150,false,true,0,,None,,None,,0
achievement,clear_300_rooms,심연의 지도,방 300개 클리어,Record,roomClears,SimpleSet,300,Essence,500,false,true,0,,None,,None,,0
achievement,shop_5,단골,상점 5회 이용,Record,shopUses,SimpleSet,5,Essence,150,false,true,0,,None,,None,,0
achievement,shop_30,행상의 벗,상점 30회 이용,Record,shopUses,SimpleSet,30,Essence,400,false,true,0,,None,,None,,0
achievement,depth_10,깊이 아는 자,심연 깊이 10 도달,Record,maxDepth,SimpleSet,10,Essence,2000,false,true,0,,None,,None,,0
achievement,clear_5,반복하는 자,5회 완주,Record,clears,SimpleSet,5,Essence,1000,false,true,0,,None,,None,,0
achievement,depth_3_clear,심연의 상주자,심연 깊이 3 클리어,Record,maxDepth,SimpleSet,3,Essence,800,false,true,0,,None,,None,,0
