buff_id,buff_name,stat_type,value,is_percent,tier,price,description
shopbuff_atk_1,맹공의 가호,AttackPower,4,0,1,90,공격력 강화(하급)
shopbuff_atk_2,맹공의 가호,AttackPower,9,0,2,160,공격력 강화(중급)
shopbuff_atk_3,맹공의 가호,AttackPower,15,0,3,230,공격력 강화(상급)
shopbuff_def_1,수호의 가호,Defense,3,0,1,90,방어력 강화(하급)
shopbuff_def_2,수호의 가호,Defense,7,0,2,160,방어력 강화(중급)
shopbuff_def_3,수호의 가호,Defense,12,0,3,230,방어력 강화(상급)
shopbuff_hp_1,생명의 가호,MaxHp,15,0,1,100,최대 체력 증가(하급)
shopbuff_hp_2,생명의 가호,MaxHp,30,0,2,175,최대 체력 증가(중급)
shopbuff_hp_3,생명의 가호,MaxHp,50,0,3,250,최대 체력 증가(상급)
shopbuff_spd_1,질풍의 가호,MoveSpeed,6,1,1,85,이동속도 증가(하급)
shopbuff_spd_2,질풍의 가호,MoveSpeed,12,1,2,150,이동속도 증가(중급)
shopbuff_as_1,연격의 가호,AttackSpeed,7,1,1,95,공격속도 증가(하급)
shopbuff_as_2,연격의 가호,AttackSpeed,14,1,2,170,공격속도 증가(중급)
shopbuff_crit_1,예리함의 가호,CritChance,5,0,1,110,치명타 확률 증가(하급)
shopbuff_crit_2,예리함의 가호,CritChance,10,0,2,190,치명타 확률 증가(중급)
shopbuff_critdmg_1,파괴의 가호,CritDamage,0.15,0,1,120,치명타 피해 증가(하급)
shopbuff_critdmg_2,파괴의 가호,CritDamage,0.3,0,2,205,치명타 피해 증가(중급)
shopbuff_cdr_1,각성의 가호,SkillCooldownReduction,0.08,0,1,130,스킬 쿨다운 감소(하급)
shopbuff_cdr_2,각성의 가호,SkillCooldownReduction,0.15,0,2,215,스킬 쿨다운 감소(중급)
shopbuff_proj_1,분열의 가호,Projectile,1,0,2,240,투사체 +1
shopbuff_luck_1,행운의 가호,Luck,5,0,1,100,행운 증가(하급)
shopbuff_luck_2,행운의 가호,Luck,10,0,2,180,행운 증가(중급)
