index,covenant_id,slot,description,basic,enhanced,evolved,stat_version
1001,nimue,0,피해 흡수 비율,0.40,0.70,0.70,1
1002,nimue,1,보호막 지속 시간(초),3,4,4,1
1011,prometheus,0,스킬 쿨타임 감소율,0.40,0.55,0.55,1
1012,prometheus,1,스킬 사용 시 최대 체력 소모 비율,0.02,0.015,0.015,1
1021,solomon,0,유령 소환 확률,0.25,0.45,0.45,1
1022,solomon,1,최대 동시 유령 수,1,2,5,1
1023,solomon,2,유령 지속 시간(초),10,10,10,1
1031,arthur,0,공격력 증가량(%),35,55,55,1
1032,arthur,1,이동속도 증가율,0,0.20,0.20,1
1033,arthur,2,저체력 발동 임계값(HP 비율),0.30,0.30,0.30,1
1034,arthur,3,충격파 발동 간격(초),5,5,5,1
1041,morgana,0,처치 시 최대 체력 기준 흡혈 비율,0.03,0.05,0.05,1
1042,morgana,1,누적 흡혈 상한 비율(0=무제한),0,0.30,0.30,1
1051,galahad,0,피해 무효 쿨타임(초),10,7,7,1
1052,galahad,1,신성 폭발 지속 시간(초),3,3,3,1
1061,mordred,0,공격력 증가량(%),50,70,70,1
1062,mordred,1,방어력 패널티(%),−30,−15,−15,1
1063,mordred,2,진화 달성 후 추가 공격력(%),0,0,20,1
1064,mordred,3,진화 발동 누적 처치 수,20,20,20,1
1071,morrigan,0,처치 1회당 공격속도 중첩 증가율,0.02,0.03,0.03,1
1072,morrigan,1,최대 중첩 수,10,15,15,1
1073,morrigan,2,영구 고정 발동 임계 중첩 수,10,10,10,1
1081,cuchulainn,0,게시 발동 HP 임계값(비율),0.50,0.65,0.65,1
1082,cuchulainn,1,게시 중 피해 증가량(%),60,80,80,1
1083,cuchulainn,2,게시 중 방어력 패널티(%),−40,−40,−40,1
1084,cuchulainn,3,진화 시 처치 시 HP 회복 비율,0.02,0.02,0.02,1
1091,lugh,0,방 입장 시 무작위 스탯 증가율,0.15,0.25,0.25,1
1092,lugh,1,방 입장 시 스탯 버프 종류 수,1,2,2,1
1101,balor,0,시선 발동 쿨타임(초),8,5,5,1
1102,balor,1,시선 피해 배율,1.0,1.5,1.5,1
1111,hecate,0,스킬 사용 시 추가 발동 효과 수,1,2,3,1
1112,hecate,1,진화 시 스킬 쿨타임 증가율,0,0,0.30,1
