passive_id,item_name,slot,effect_type,trigger,value,value2,value3,max_stack,duration,description,stat_version,shape_id,grade,element
item_t1_weight,충격의 룬,1,AllDamage,Always,6,0,0,0,0,공격력 +6,1,1,Common,
item_t1_traveler_pack,생명의 룬,1,MaxHP,Always,35,0,0,0,0,최대 HP +35,1,2,Common,
item_t1_patched_cloth,보호의 룬,1,Defense,Always,4,0,0,0,0,방어력 +4,1,1,Common,
item_t1_patched_cloth,보호의 룬,2,MaxHP,Always,15,0,0,0,0,최대 HP +15,1,1,Common,
item_t1_crude_charm,수호의 룬,1,MaxHP,Always,20,0,0,0,0,최대 HP +20,1,2,Common,
item_t1_crude_charm,수호의 룬,2,Defense,Always,2,0,0,0,0,방어력 +2,1,2,Common,
item_t1_dull_awl,찌르기의 룬,1,AllDamage,Always,5,0,0,0,0,공격력 +5,1,3,Common,
item_t1_dull_awl,찌르기의 룬,2,MaxHP,Always,10,0,0,0,0,최대 HP +10,1,3,Common,
item_t1_small_weight,중량의 룬,1,AllDamage,Always,4,0,0,0,0,공격력 +4,1,1,Common,
item_t1_small_weight,중량의 룬,2,Defense,Always,2,0,0,0,0,방어력 +2,1,1,Common,
item_t1_dull_shield,방패의 룬,1,Defense,Always,8,0,0,0,0,방어력 +8,1,1,Common,
item_t1_keen_eye,간파의 룬,1,CritChance,Always,0.05,0,0,0,0,치명타 확률 +5%,1,2,Common,
item_t1_heavy_blade,중타의 룬,1,CritDamage,Always,0.12,0,0,0,0,치명타 피해 +12%,1,3,Common,
item_t1_training_stone,수련의 룬,1,SkillDamage,Always,0.07,0,0,0,0,스킬 피해 +7%,1,1,Common,
item_t1_vitality_seed,성장의 룬,1,MaxHPPercent,Always,0.12,0,0,0,0,최대 HP +12%,1,3,Common,
item_t1_swift_charm,쾌속의 룬,1,MoveSpeed,Always,0.11,0,0,0,0,이동속도 +11%,1,1,Common,
item_t1_destruction_sigil,문양의 룬,1,CritDamage,Always,0.15,0,0,0,0,치명타 피해 +15%,1,1,Common,
item_t1_sharp_blade,예기의 룬,1,AllDamage,Always,0.07,0,0,0,0,공격력 +7%,1,3,Common,
item_t1_leather_armor,방어의 룬,1,DefensePercent,Always,0.08,0,0,0,0,방어력 +8%,1,1,Common,
item_t1_enhanced_tendon,강화의 룬,1,AttackSpeed,Always,0.09,0,0,0,0,공격속도 +9%,1,2,Common,
item_t1_keen_focus,집중의 룬,1,CritChance,Always,0.05,0,0,0,0,치명타 확률 +5%,1,3,Common,
item_t1_light_shard,광속의 룬,1,SkillCooldownReduction,Always,0.11,0,0,0,0,스킬 쿨타임 -11%,1,1,Common,
item_t1_crisis_blade,위기의 룬,1,CondAllDamage,HPBelow50,0.18,0,0,0,0,HP 50% 이하 시 공격력 +18%,1,1,Common,
item_t1_rage_armor,분노의 룬,1,CondDefensePercent,HPBelow50,0.2,0,0,0,0,HP 50% 이하 시 방어력 +20%,1,2,Common,
item_t1_battle_awaken,각성의 룬,1,CondAttackSpeed,AfterSkill,0.2,0,0,0,3,스킬 사용 직후 3초간 공격속도 +20%,1,3,Common,
