slot_id,lane,layer,fixed_category,next_slots,label,theme,corridor_style
0,0,0,Start,2,황혼의 입구,Forest,Abyss
1,-1,1,,2|5,안개 늪지,Forest,Forest
2,0,1,,1|3|6,강변 초입,Forest,Forest
3,1,1,,2|7,비틀린 덤불,Forest,Forest
4,-2,2,,5|9,늪지 외곽,Forest,Forest
5,-1,2,Shop,4|6|10,상인의 쉼터,Forest,Forest
6,0,2,Event,5|7|11,고대의 제단,Forest,Forest
7,1,2,Shop,6|8|12,방랑 상인,Forest,Forest
8,2,2,,7|13,가시덤불 끝,Forest,Forest
9,-2,3,,10|14,돌의 균열,Forest,Forest
10,-1,3,,9|11|15,잠긴 섬,Forest,Forest
11,0,3,,10|12|16,고리 기둥,Forest,Forest
12,1,3,,11|13|17,층계 언덕,Forest,Forest
13,2,3,,12|18,안개 협로,Forest,Forest
14,-2,4,,15|19,통로의 회랑,Forest,Forest
15,-1,4,,14|16|20,고리의 십자로,Forest,Forest
16,0,4,Event,15|17|21,비밀 제단,Abyss,Abyss
17,1,4,,16|18|22,구름 다리,Abyss,Abyss
18,2,4,,17|23,심연의 문턱,Abyss,Abyss
19,-2,5,Elite,20,심연의 함정,Abyss,Abyss
20,-1,5,,19|21|24,균열의 길,Abyss,Abyss
21,0,5,,20|22|25,공허의 다리,Abyss,Abyss
22,1,5,,21|23|26,나락의 경계,Abyss,Abyss
23,2,5,Elite,22,정예 함정,Abyss,Abyss
24,-1,6,,25|27,안개 성벽,Abyss,Abyss
25,0,6,,24|26|28,황혼의 광장,Abyss,Abyss
26,1,6,,25|29,불꽃 잔해,Abyss,Abyss
27,-1,7,,28|30,잊혀진 통로,Abyss,Abyss
28,0,7,,27|29|31,잿빛 광장,Abyss,Abyss
29,1,7,,28|32,타오르는 잔교,Abyss,Abyss
30,-1,8,Elite,31,정예의 함정 II,Abyss,Abyss
31,0,8,,30|32|33,어둠의 전당,Abyss,Abyss
32,1,8,Elite,31,심연 투사,Abyss,Abyss
33,0,9,Event,34,보스 앞 제단,Abyss,Abyss
34,0,10,Boss,,심연의 군주,Abyss,Abyss
