sequence_id,line_order,speaker,illustration_key,text
StartRoom,0,God,Illust_God_Default,"눈을 떴는가, 기사여. ……그대의 영혼은 내가 붙들어 두었다."
StartRoom,1,God,Illust_God_Default,이곳은 어느 땅에도 없는 자리다. 그대를 붙들기 위해 <b>내가 불러낸 공간이지.</b>
StartRoom,2,God,Illust_God_Default,그대가 받았던 무형검은 잃지 않았다. <b>내가 다시 그대 손에 쥐어주마.</b>
StartRoom,3,Shadow,Illust_Shadow_Default,…또 하나. 이번엔 얼마나 버틸까.
StartRoom,4,God,Illust_God_Default,"허나 검 하나로는 닿지 못한다. 스러진 기사들의 의지, <b>유물</b>의 힘을 함께 지녀라."
StartRoom,5,God,Illust_God_Default,채비를 갖추었거든 그대가 무릎 꿇었던 <b>그날의 자리로 돌아가라.</b>
StartRoom_R1,0,Shadow,Illust_Shadow_Default,...또 돌아왔군. 유물도 무기도 늘 같은 자리에서 널 기다려.
StartRoom_R1,1,God,Illust_God_Default,"채비를 갖추렴, 작은 빛. 문은 언제든 열려 있어."
StartRoom_R2,0,God,Illust_God_Default,"다시 깨어났구나. 유물도, 무기도 네 손길을 기다리고 있어."
StartRoom_R2,1,Shadow,Illust_Shadow_Default,순환은 지치지 않아. ...너는 어떨지 모르겠지만.
SwordAwaken,0,God,Illust_God_Default,"원탁 앞에 무릎 꿇던 순간을 기억하는가. 검이 어깨에 닿기도 전에, 그대는 스러졌지."
SwordAwaken,1,God,Illust_God_Default,그 검은 끝내 형(形)을 얻지 못했다. 어떤 검이 될지 정해지지 않은 채로.
SwordAwaken,2,God,Illust_God_Default,허나 완성되지 못했기에 — 아직 무엇이든 될 수 있다. 무한의 가능성만이 깃든 검.
SwordAwaken,3,God,Illust_God_Default,"가라, 기사여. 이번 생에선 그 형(形)을, 그대의 손으로 벼려 보아라."
SwordAwaken,4,God,Illust_God_Default,허나 이 검은 아직 빛일 뿐. 심연의 화로가 비로소 그 형을 벼려주리라.
